security,symbol,market_cap,current_price,previous_price,day_low,day_high,year_week_low,year_week_high,sector,move,category
Occidental Petroleum,OXY,39.1,39.83,39.97,39.49,41.07,34.78,68.43,Energy,-0.35,down
Host Hotels & Resorts,HST,9.675,13.77,13.82,13.74,14.48,12.22,19.87,Real Estate,-0.36,down
Kraft Heinz,KHC,35.909,30.09,30.2,29.76,30.42,27.25,38.96,Consumer Staples,-0.36,down
Brown–Forman,BF.B,16.318,34.58,34.71,34.17,35.34,30.48,49.89,Consumer Staples,-0.37,down
Evergy,EVRG,15.666,68.11,68.36,67.42,68.65,51.49,70.3,Utilities,-0.37,down
Extra Space Storage,EXR,31.309,141.3,141.83,140.24,144.29,121.03,184.87,Real Estate,-0.37,down
Devon Energy,DVN,20.157,31.08,31.2,30.71,32.31,25.89,53.2,Energy,-0.38,down
Amcor,AMCR,13.76,9.52,9.56,9.45,9.69,8.37,11.48,Materials,-0.42,down
McKesson Corporation,MCK,86.759,692.27,695.17,670.7,699.88,464.42,728.32,Health Care,-0.42,down
Darden Restaurants,DRI,23.612,201.77,202.65,201.05,206.97,135.87,211.0,Consumer Discretionary,-0.43,down
Halliburton,HAL,17.765,20.61,20.7,20.26,21.58,18.72,39.25,Energy,-0.43,down
Altria,MO,98.752,58.56,58.82,57.95,58.93,42.4,60.18,Consumer Staples,-0.44,down
Chevron Corporation,CVX,238.742,136.68,137.3,135.15,138.55,132.04,168.96,Energy,-0.45,down
Arch Capital Group,ACGL,34.757,92.51,92.95,91.97,94.28,82.49,116.47,Financials,-0.47,down
Public Storage,PSA,51.788,295.23,296.67,293.11,300.5,256.31,369.99,Real Estate,-0.49,down
Republic Services,RSG,75.421,241.37,242.57,239.27,244.53,180.92,249.73,Industrials,-0.49,down
Hershey Company (The),HSY,33.747,166.6,167.44,164.97,168.49,140.13,211.92,Consumer Staples,-0.5,down
Regency Centers,REG,13.142,71.96,72.32,71.24,73.27,58.08,78.18,Real Estate,-0.5,down
Molson Coors Beverage Company,TAP,11.901,58.7,59.0,57.94,59.54,49.19,64.66,Consumer Staples,-0.51,down
Ameren,AEE,26.646,98.63,99.15,97.69,99.67,69.39,104.1,Utilities,-0.52,down
Honeywell,HON,126.921,197.31,198.37,196.82,201.26,179.36,242.77,Industrials,-0.53,down
Cencora,COR,55.152,284.71,286.27,275.16,284.99,214.77,296.65,Health Care,-0.54,down
Generac,GNRC,6.561,110.06,110.67,110.0,116.48,99.5,195.94,Industrials,-0.55,down
Sysco,SYY,35.66,72.89,73.29,72.29,74.31,67.12,82.23,Consumer Staples,-0.55,down
